P,7.373,2007,06180505,89.5,92.7,12.0
A,8.155,2009,06180505,95.8,97.7,10.9
P,7.948,2010,06180505,94.6,92.6,10.8
A,8.193,2011,06180505,100,90.2,10.9
A,8.484,2012,06180505,100,100,10.7
A,8.655,2013,06180505,100,100,11.5
A,8.384,2014,06180505,100,100,12.2
NI,5.406,2008,01490027,96.4,94.9,18.1
NI,5.574,2010,01490027,100,100,13.6
NI,6.24,2014,01490027,97.3,90,13.9
P,7.213,2006,02610010,100,100,14.5
P,7.03,2007,02610010,100,100,12.9
P,7.138,2009,02610010,99.1,62.1,14.2
P,7.5,2011,02610010,97.3,96.6,13.7
P,7.639,2012,02610010,98.5,96.6,13.4
P,7.27,2013,02610010,100,100,14.9
P,7.569,2006,07530505,100,100,16.7
P,8.067,2007,07530505,98.4,100,16.7
P,8.019,2008,07530505,95.1,92.3,15.7
A,8.183,2009,07530505,95.4,98,15.6
A,8.246,2010,07530505,96.9,100,15.1
A,8.342,2012,07530505,96.4,100,15.1
A,8.61,2014,07530505,95.2,100,13.9
P,8.01,2007,01750305,98.2,98,13.6
P,7.977,2008,01750305,100,95.3,14.0
A,8.175,2011,01750305,99.6,99.7,13.3
P,7.91,2012,01750305,98.9,99,13.2
P,7.925,2013,01750305,99.5,100,13.3
P,7.807,2014,01750305,100,98.3,12.5
NI,5.5,2009,00440515,75.4,65.6,12.3
NI,5.821,2010,00440515,78.9,77.3,13.8
NI,6.15,2011,00440515,63.3,57.5,6.4
P,6.458,2012,00440515,86.8,93.2,12.1
NI,6.159,2013,00440515,97.3,97.4,11.7
NI,5.938,2014,00440515,100,98.1,12.1
A,8.357,2007,00510025,98.4,98.2,11.4
A,8.216,2008,00510025,99,98.4,12.4
A,8.354,2010,00510025,99,97.5,12.2
A,8.716,2011,00510025,100,100,11.7
A,9.253,2012,00510025,100,100,11.8
A,8.879,2013,00510025,100,100,11.2
P,6.432,2007,00310305,92.8,91.6,12.4
P,6.667,2008,00310305,92.4,88.4,12.8
P,6.912,2009,00310305,94.2,88.9,12.2
P,7.148,2010,00310305,100,100,14.0
P,6.822,2014,00310305,100,95.2,12.4
P,6.902,2006,04440205,84.4,77.8,8.7
P,7.135,2008,04440205,48.9,100,10.8
P,6.979,2009,04440205,41.3,99.4,10.3
P,7.273,2010,04440205,51.5,96.9,9.8
P,7.014,2012,04440205,54,100,10.9
P,6.949,2013,04440205,60,100,11.4
P,7.158,2007,00350540,90.6,90.2,13.7
P,7.449,2008,00350540,100,100,14.6
P,7.483,2010,00350540,100,92.3,16.4
P,7.946,2011,00350540,91,91.2,13.6
P,7.804,2012,00350540,83,89.2,12.8
A,8.141,2013,00350540,80.4,100,12.3
P,7.937,2014,00350540,76.6,77.1,12.8
P,7.265,2006,01910505,91.5,89.6,13.1
P,7.29,2007,01910505,88.7,86.3,12.4
A,8.175,2008,01910505,98.1,95.7,13.3
A,8.245,2009,01910505,98.3,100,13.2
P,7.917,2010,01910505,98.3,98.8,12.2
P,7.804,2011,01910505,100,100,13.9
P,7.75,2012,01910505,99.9,100,11.8
A,8.465,2013,01910505,96.6,97.6,12.4
A,8.173,2014,01910505,96.2,92.5,13.1
P,7.625,2006,03050505,95.4,95.9,12.3
P,7.915,2007,03050505,92.6,91.2,12.1
A,8.211,2009,03050505,98.7,100,12.9
A,8.241,2010,03050505,98.6,98.1,13.2
P,8.115,2011,03050505,100,100,12.4
A,8.574,2012,03050505,100,100,12.9
A,8.792,2013,03050505,98.6,98.3,13.4
A,8.7,2014,03050505,97.4,98.4,12.5
P,7.133,2006,03050310,96.3,95.7,13.7
P,7.107,2007,03050310,95.2,94.5,13.2
P,6.969,2008,03050310,97.7,96.4,13.5
P,7.409,2010,03050310,100,100,13.3
