address,town,name,type,id,lat,long
73 Fruit Street,Ashland,Henry E Warren Elementary,Public School,140010,42.24203929999999,-71.44507469999999
75 Central Street,Ashland,William Pittaway Elementary,Public School,140005,42.2580989,-71.45996939999999
215 Fitchburg Street,Marlborough,Assabet Valley Vocational High School,Public School,8010605,42.3681519,-71.5664434
1064 Pleasant Street,Athol,Athol Community Elementary School,Public School,6150020,42.5741948,-72.2189463
2363 Main Street,Athol,Athol High,Public School,6150505,42.5827999,-72.2045672
1062 Pleasant Street,Athol,Athol-Royalston Middle School,Public School,6150305,42.5742138,-72.2189441
96 Winchendon Rd,Royalston,Royalston Community School,Public School,6150050,42.680102,-72.1407665
37 Park Street,Fall River,Atlantis Charter School,Charter School,4910550,41.6940441,-71.1632114
299 Rathbun Willard Drive,Attleboro,A. Irvin Studley Elementary School,Public School,160001,41.94013899999999,-71.3034023
100 Rathbun Willard Drive,Attleboro,Attleboro Community Academy,Public School,160515,41.9393638,-71.3020011
100 Rathbun Willard Drive,Attleboro,Attleboro High,Public School,160505,41.9393638,-71.3020011
320 Rathbun Willard Drive,Attleboro,Cyril K. Brennan Middle School,Public School,160315,41.9376387,-71.3079575
7 James St,Attleboro,Early Learning Center,Public School,160008,41.9318023,-71.2805151
80 Roy Avenue,Attleboro,Hill-Roberts Elementary School,Public School,160045,41.91894930000001,-71.3523208
790 Oak Hill Avenue,Attleboro,Hyman Fine Elementary School,Public School,160040,41.9161667,-71.27203709999999
160 James Street,Attleboro,Peter Thacher Elementary School,Public School,160050,41.93312239999999,-71.280433
99 Brown Street,Attleboro,Robert J. Coelho Middle School,Public School,160305,41.909729,-71.3686764
32 Watson Avenue,Attleboro,Thomas Willett Elementary School,Public School,160035,41.9471016,-71.2918086
300 Locust Street,Attleboro,Wamsutta Middle School,Public School,160320,41.9133649,-71.2807364
9 West Street,Auburn,Auburn Middle,Public School,170305,42.18419859999999,-71.8679494
99 Auburn Street,Auburn,Auburn Senior High,Public School,170505,42.20874730000001,-71.8371779
35 Swanson Road,Auburn,Bryn Mawr,Public School,170010,42.204664,-71.844943
110 Pakachoag Street,Auburn,Pakachoag School,Public School,170025,42.2237818,-71.8151373
10 Swanson Road,Auburn,Swanson Road Intermediate School,Public School,170030,42.2056422,-71.8407746
287 West Main Street,Avon,Avon Middle High School,Public School,180510,42.1287094,-71.0419368
1 Patrick Clark Drive,Avon,Ralph D Butler,Public School,180010,42.1159975,-71.0457557
141 Washington Street,Ayer,Ayer Shirley Regional High School,Public School,6160505,42.5670466,-71.5760475
1 Hospital Road,Shirley,Ayer Shirley Regional Middle School,Public School,6160305,42.54602610000001,-71.6391742
34 Lancaster Road,Shirley,Lura A. White Elementary School,Public School,6160001,42.5398021,-71.6572043
115 Washington Street,Ayer,Page Hilltop Elementary School,Public School,6160002,42.5672436,-71.57836180000001
744 West Main Street,Hyannis,Barnstable High,Public School,200505,41.6543993,-70.3214659
895 Falmouth Road,Hyannis,Barnstable Intermediate School,Public School,200315,41.658763,-70.3201375
730 Osterville West Barnstable Road,Marston Mills,Barnstable United Elementary School,Public School,200050,41.660332,-70.3873717
658 Bay Ln,Centerville,Centerville Elementary,Public School,200010,41.646175,-70.353557
