school id,year,percent attending college/univ,percent attending prive two year,percent attending private four year,percent attending public two year,percent attending public four year
1970505,2004,67.5,0.0,63.0,3.7,33.3
1980505,2004,75.1,0.0,44.2,18.6,37.2
1990505,2004,86.2,0.0,55.8,6.0,38.2
2010505,2004,71.6,0.2,18.8,37.9,43.0
2040505,2004,86.7,0.0,37.7,23.1,39.2
2070505,2004,75.5,0.0,59.3,12.6,28.1
2070510,2004,78.6,0.0,63.8,4.0,32.2
2090505,2004,64.8,0.0,44.1,20.6,35.3
2100505,2004,73.8,0.0,43.8,28.5,27.8
2110505,2004,85.2,0.0,45.3,21.9,32.8
2120505,2004,77.8,1.5,28.1,24.5,45.9
2140505,2004,61.2,0.0,31.6,27.8,40.5
2150505,2004,50.0,0.0,23.8,33.3,42.9
2170505,2004,84.2,0.8,35.8,20.3,43.1
2180505,2004,74.3,1.9,34.6,21.2,42.3
2190505,2004,85.9,0.0,63.8,6.0,30.2
2200505,2004,73.5,1.1,43.4,17.1,38.3
2260505,2004,60.4,1.1,38.9,23.3,36.7
2270505,2004,70.9,0.0,28.4,52.6,18.9
2290510,2004,71.7,0.8,28.9,25.2,45.1
2360505,2004,73.8,0.9,23.6,43.6,31.8
2360510,2004,67.2,0.0,24.8,43.2,32.0
2390505,2004,70.0,1.3,28.2,23.5,47.0
2390515,2004,82.1,1.2,41.2,25.3,32.4
2430505,2004,56.5,2.4,36.4,35.8,25.5
2430510,2004,69.1,0.0,37.3,21.7,41.0
2440505,2004,77.4,0.7,38.8,27.2,33.3
2460505,2004,82.9,0.4,48.2,12.7,38.6
2480505,2004,60.6,1.3,39.6,22.1,36.9
2480520,2004,12.5,0.0,50.0,50.0,0.0
2510505,2004,66.3,0.9,25.0,31.3,42.9
2520510,2004,78.9,2.2,44.4,22.2,31.1
2580505,2004,61.3,0.6,24.8,34.4,40.1
2610505,2004,83.1,0.0,36.2,28.5,35.3
2620505,2004,76.1,0.0,25.7,35.0,39.3
2640505,2004,76.5,0.9,44.4,14.5,40.2
2650505,2004,80.4,0.0,29.0,26.7,44.3
2660505,2004,81.8,0.0,51.4,9.1,39.5
2710505,2004,74.0,0.0,47.0,22.8,30.2
2740505,2004,50.9,2.6,42.3,31.2,23.8
2780505,2004,76.3,0.0,26.7,50.0,23.3
2810500,2004,61.9,0.0,16.2,54.7,29.1
2810510,2004,70.5,0.9,17.3,63.6,18.2
4060705,2004,29.1,0.0,12.0,76.0,12.0
4120530,2004,78.3,0.0,61.1,11.1,27.8
4240505,2004,13.8,0.0,50.0,50.0,0.0
4410505,2004,87.2,0.0,29.4,38.2,32.4
4490305,2004,88.9,0.0,31.3,6.3,62.5
4580505,2004,41.9,0.0,0.0,92.3,7.7
4680505,2004,78.4,0.0,82.5,0.0,17.5
4690505,2004,65.0,0.0,61.5,7.7,30.8
4780505,2004,86.8,0.0,57.6,6.1,36.4
4790505,2004,85.3,0.0,27.6,31.0,41.4
4870550,2004,73.3,0.0,81.8,9.1,9.1
6000505,2004,80.2,0.0,58.2,9.8,32.0
6030505,2004,75.4,0.0,30.2,32.6,37.2
6050505,2004,78.3,0.4,46.7,18.6,34.3
6100505,2004,78.0,0.0,32.1,30.5,37.4
6150505,2004,67.0,0.0,18.2,46.8,35.1
6180505,2004,68.5,0.0,43.1,32.4,24.5
6200505,2004,80.0,0.0,42.9,21.4,35.7
6250505,2004,74.8,0.4,23.2,22.8,53.7
6350505,2004,74.6,0.0,28.1,54.1,17.8
6400505,2004,86.5,0.4,70.1,6.1,23.4
6450505,2004,72.4,0.0,35.6,29.4,35.0
6500505,2004,72.7,0.0,29.2,31.0,39.9
6550505,2004,84.4,0.0,72.8,2.2,25.0
6580505,2004,70.7,0.0,38.2,23.7,38.2
6600505,2004,65.1,0.0,41.7,29.8,28.5
6650505,2004,78.7,0.0,23.6,29.2,47.2
6700505,2004,75.3,0.0,25.7,42.9,31.4
6720505,2004,65.6,0.0,26.2,44.3,29.5
6730505,2004,83.2,0.0,37.0,21.4,41.6
6740505,2004,60.6,0.0,18.6,44.2,37.2
6750505,2004,77.7,0.0,55.1,11.0,33.8
6800505,2004,80.5,0.5,48.4,28.4,22.8
6830505,2004,74.5,0.0,31.6,32.9,35.5
6900505,2004,75.8,0.5,41.2,13.7,44.6
6950505,2004,81.4,0.4,69.0,7.0,23.6
6980510,2004,79.1,0.0,54.4,19.1,26.5
7050505,2004,79.1,0.5,48.6,16.7,34.3
7100510,2004,75.6,0.0,43.0,17.2,39.8
7150505,2004,71.7,0.0,42.1,32.9,25.0
7170505,2004,64.6,0.0,20.5,52.1,27.4
7200505,2004,66.0,0.0,16.1,45.2,38.7
7250505,2004,83.9,0.0,46.6,19.2,34.2
7300505,2004,85.9,0.0,48.8,7.8,43.4
7350505,2004,73.6,0.0,25.5,31.5,42.9
7400505,2004,81.5,0.0,37.2,19.0,43.8
7450505,2004,86.0,0.0,37.1,34.0,28.9
7500505,2004,65.2,0.0,20.9,41.9,37.2
7530505,2004,70.4,0.0,39.1,19.5,41.4
7550505,2004,68.4,0.0,23.9,49.3,26.9
7600505,2004,70.7,0.0,30.7,25.3,44.1
