school_id,year,success_raw,success_letter
01490050,2011,5.054,W
01490050,2012,4.805,W
01490050,2013,4.547,W
01490050,2014,5.766,W
06450310,2006,6.536,P
06450310,2007,6.591,P
06450310,2008,6.337,P
06450310,2009,6.656,P
06450310,2010,6.778,P
06450310,2011,6.584,P
06450310,2012,6.25,P
06450310,2013,5.101,W
01280073,2011,5.0,W
01580305,2007,7.562,P
01580305,2008,7.083,P
01580305,2009,7.621,P
01580305,2010,6.796,P
01580305,2011,7.205,P
01580305,2012,8.051,P
01580305,2013,7.707,P
01580305,2014,7.765,P
02810345,2012,3.333,NI
02810345,2013,3.824,NI
02810345,2014,2.917,NI
02930315,2006,6.479,P
02930315,2007,6.888,P
02930315,2008,6.921,P
02930315,2009,6.867,P
02930315,2010,6.747,P
02930315,2011,6.92,P
02950505,2006,7.941,P
02950505,2007,7.782,P
02950505,2008,7.719,P
02950505,2009,7.845,P
02950505,2010,7.996,P
02950505,2011,8.162,A
02950505,2012,8.373,A
02950505,2013,8.42,A
02950505,2014,8.709,A
00440520,2014,5.284,W
00090350,2007,7.594,P
00090350,2008,7.59,P
00090350,2009,8.036,P
00090350,2010,7.956,P
00090350,2011,8.263,A
00090350,2012,8.327,A
00090350,2013,7.942,P
00090350,2014,7.84,P
00930010,2007,6.549,P
00930010,2008,6.333,P
00930010,2009,6.168,W
00930010,2010,5.962,W
00930010,2011,6.19,W
00930010,2012,6.25,P
00930010,2013,6.513,P
00930010,2014,6.571,P
02580305,2006,5.6,W
02580305,2007,5.87,W
02580305,2008,5.694,W
02580305,2009,5.904,W
02580305,2010,5.69,W
02580305,2011,5.986,W
02580305,2012,6.104,W
02580305,2013,5.92,W
02580305,2014,5.61,W
02520510,2006,8.01,P
02520510,2007,7.648,P
02520510,2008,7.803,P
02520510,2009,8.017,P
02520510,2010,8.08,P
02520510,2011,8.784,A
02520510,2012,8.713,A
02520510,2013,8.844,A
02520510,2014,8.623,A
05160000,2012,5.536,W
01750505,2006,8.914,A
01750505,2007,8.997,A
01750505,2008,9.038,A
01750505,2009,9.237,A
01750505,2010,9.324,A
01750505,2011,9.436,A
01750505,2012,9.637,A
01750505,2013,9.362,A
01750505,2014,9.337,A
00490065,2007,5.263,W
00490065,2008,6.5,P
00490065,2009,6.6,P
00490065,2010,6.154,W
00490065,2011,5.721,W
00490065,2012,6.033,W
01810050,2007,6.651,P
01810050,2008,6.595,P
01810050,2009,6.453,P
01810050,2010,6.644,P
01810050,2011,6.51,P
01810050,2012,6.946,P
01810050,2013,6.625,P
01810050,2014,6.534,P
00930038,2007,5.341,W
00930038,2008,6.215,W
00930038,2009,5.844,W
00930038,2010,6.25,P
00930038,2011,6.188,W
00930038,2012,5.618,W
00930038,2013,6.079,W
00930038,2014,5.652,W
00490050,2007,5.991,W
00490050,2008,6.094,W
00490050,2009,6.797,P
00490050,2010,6.646,P
